resp.id,ques,alt,choice,none,accessibility,authentication,customisation,video,adopters
2,10,1,2,2,web,two_factor,low,one_to_one,0.01
2,10,2,0,2,web,two_factor,medium,one_to_one,0.76
2,10,3,0,2,web,two_factor,high,multi_person,0.23
2,10,4,0,1,0,0,0,0,0
2,11,1,1,2,web,two_factor,low,multi_person,0.98
2,11,2,0,2,web,two_factor,low,one_to_one,0.76
2,11,3,0,2,web,simple,low,one_to_one,0.76
2,11,4,0,1,0,0,0,0,0
2,12,1,3,2,web,two_factor,high,one_to_one,0.01
2,12,2,0,2,web,multi_factor,low,multi_person,0.01
2,12,3,0,2,web,two_factor,low,one_to_one,0.98
2,12,4,0,1,0,0,0,0,0
2,13,1,1,2,web,multi_factor,high,one_to_one,0.98
2,13,2,0,2,web,multi_factor,high,multi_person,0.23
2,13,3,0,2,mobile,multi_factor,high,multi_person,0.23
2,13,4,0,1,0,0,0,0,0
2,14,1,1,2,mobile,simple,low,multi_person,0.98
2,14,2,0,2,mobile,multi_factor,low,multi_person,0.23
2,14,3,0,2,web,simple,high,multi_person,0.23
2,14,4,0,1,0,0,0,0,0
3,1,1,2,2,web,simple,high,multi_person,0.23
3,1,2,0,2,web,two_factor,low,multi_person,0.98
3,1,3,0,2,mobile,multi_factor,medium,multi_person,0.45
3,1,4,0,1,0,0,0,0,0
3,2,1,1,2,web,two_factor,low,one_to_one,0.98
3,2,2,0,2,mobile,multi_factor,medium,multi_person,0.23
3,2,3,0,2,mobile,two_factor,low,one_to_one,0.45
3,2,4,0,1,0,0,0,0,0
3,3,1,3,2,web,multi_factor,medium,multi_person,0.23
3,3,2,0,2,mobile,simple,medium,one_to_one,0.45
3,3,3,0,2,web,multi_factor,low,one_to_one,0.76
3,3,4,0,1,0,0,0,0,0
3,4,1,1,2,web,multi_factor,medium,multi_person,0.98
3,4,2,0,2,mobile,two_factor,medium,multi_person,0.23
3,4,3,0,2,web,multi_factor,high,multi_person,0.23
3,4,4,0,1,0,0,0,0,0
3,5,1,2,2,mobile,multi_factor,medium,one_to_one,0.01
3,5,2,0,2,mobile,multi_factor,medium,multi_person,0.76
3,5,3,0,2,web,simple,medium,multi_person,0.01
3,5,4,0,1,0,0,0,0,0
3,6,1,3,2,mobile,multi_factor,medium,one_to_one,0.23
3,6,2,0,2,mobile,multi_factor,low,multi_person,0.01
3,6,3,0,2,web,two_factor,low,one_to_one,0.76
3,6,4,0,1,0,0,0,0,0
3,7,1,1,2,web,simple,low,multi_person,0.98
3,7,2,0,2,web,simple,low,multi_person,0.45
3,7,3,0,2,web,multi_factor,medium,multi_person,0.01
3,7,4,0,1,0,0,0,0,0
3,8,1,1,2,mobile,two_factor,low,multi_person,0.45
3,8,2,0,2,mobile,two_factor,high,one_to_one,0.23
3,8,3,0,2,mobile,simple,high,one_to_one,0.01
3,8,4,0,1,0,0,0,0,0
3,9,1,1,2,web,two_factor,high,multi_person,0.76
3,9,2,0,2,mobile,two_factor,medium,multi_person,0.76
3,9,3,0,2,web,multi_factor,high,one_to_one,0.45
3,9,4,0,1,0,0,0,0,0
3,10,1,1,2,web,multi_factor,low,multi_person,0.98
3,10,2,0,2,web,two_factor,medium,one_to_one,0.23
3,10,3,0,2,web,simple,high,multi_person,0.23
3,10,4,0,1,0,0,0,0,0
3,11,1,3,2,web,two_factor,high,one_to_one,0.45
3,11,2,0,2,web,simple,high,one_to_one,0.45
3,11,3,0,2,web,simple,medium,one_to_one,0.76
3,11,4,0,1,0,0,0,0,0
3,12,1,1,2,web,simple,high,multi_person,0.76
3,12,2,0,2,mobile,multi_factor,low,one_to_one,0.76
3,12,3,0,2,web,simple,medium,multi_person,0.45
3,12,4,0,1,0,0,0,0,0
3,13,1,1,2,mobile,multi_factor,low,one_to_one,0.98
3,13,2,0,2,web,multi_factor,high,multi_person,0.45
3,13,3,0,2,mobile,multi_factor,high,multi_person,0.45
3,13,4,0,1,0,0,0,0,0
3,14,1,1,2,mobile,simple,high,multi_person,0.76
3,14,2,0,2,web,two_factor,high,multi_person,0.23
3,14,3,0,2,web,simple,medium,multi_person,0.76
3,14,4,0,1,0,0,0,0,0
4,1,1,2,2,web,multi_factor,high,multi_person,0.01
4,1,2,0,2,web,simple,medium,one_to_one,0.23
4,1,3,0,2,mobile,simple,medium,multi_person,0.23
4,1,4,0,1,0,0,0,0,0
4,2,1,3,2,web,multi_factor,high,one_to_one,0.01
4,2,2,0,2,mobile,simple,high,one_to_one,0.23
4,2,3,0,2,mobile,simple,low,one_to_one,0.45
4,2,4,0,1,0,0,0,0,0
4,3,1,1,2,web,multi_factor,medium,one_to_one,0.23
4,3,2,0,2,mobile,two_factor,medium,one_to_one,0.01
4,3,3,0,2,mobile,two_factor,high,one_to_one,0.01
4,3,4,0,1,0,0,0,0,0
4,4,1,2,2,web,multi_factor,low,multi_person,0.45
4,4,2,0,2,mobile,two_factor,medium,one_to_one,0.76
4,4,3,0,2,mobile,multi_factor,medium,multi_person,0.01
4,4,4,0,1,0,0,0,0,0
4,5,1,2,2,mobile,simple,high,one_to_one,0.01
4,5,2,0,2,web,multi_factor,medium,one_to_one,0.98
4,5,3,0,2,web,two_factor,low,multi_person,0.01
4,5,4,0,1,0,0,0,0,0
4,6,1,1,2,mobile,multi_factor,high,multi_person,0.98
4,6,2,0,2,web,multi_factor,high,multi_person,0.01
4,6,3,0,2,web,simple,low,multi_person,0.45
4,6,4,0,1,0,0,0,0,0
4,7,1,2,2,web,two_factor,low,multi_person,0.76
4,7,2,0,2,mobile,simple,low,multi_person,0.98
4,7,3,0,2,mobile,two_factor,low,one_to_one,0.76
4,7,4,0,1,0,0,0,0,0
4,8,1,1,2,web,multi_factor,high,multi_person,0.23
4,8,2,0,2,mobile,two_factor,low,one_to_one,0.01
4,8,3,0,2,web,simple,high,multi_person,0.01
4,8,4,0,1,0,0,0,0,0
4,9,1,3,2,web,two_factor,low,one_to_one,0.76
4,9,2,0,2,web,two_factor,medium,one_to_one,0.23
4,9,3,0,2,web,two_factor,low,multi_person,0.98
4,9,4,0,1,0,0,0,0,0
4,10,1,3,2,mobile,two_factor,medium,one_to_one,0.23
4,10,2,0,2,web,two_factor,high,multi_person,0.01
4,10,3,0,2,mobile,multi_factor,low,one_to_one,0.76
4,10,4,0,1,0,0,0,0,0
4,11,1,2,2,mobile,simple,medium,one_to_one,0.01
4,11,2,0,2,web,multi_factor,high,multi_person,0.23
4,11,3,0,2,mobile,multi_factor,low,one_to_one,0.45
4,11,4,0,1,0,0,0,0,0
4,12,1,2,2,mobile,two_factor,low,multi_person,0.98
4,12,2,0,2,web,two_factor,medium,multi_person,0.98
4,12,3,0,2,web,simple,high,multi_person,0.01
4,12,4,0,1,0,0,0,0,0
4,13,1,2,2,mobile,two_factor,high,one_to_one,0.23
4,13,2,0,2,mobile,two_factor,low,one_to_one,0.76
4,13,3,0,2,web,simple,medium,one_to_one,0.01
4,13,4,0,1,0,0,0,0,0
4,14,1,1,2,web,simple,high,multi_person,0.76
4,14,2,0,2,mobile,simple,high,one_to_one,0.23
4,14,3,0,2,mobile,two_factor,high,one_to_one,0.01
4,14,4,0,1,0,0,0,0,0
5,1,1,3,2,web,simple,low,multi_person,0.45
5,1,2,0,2,web,two_factor,high,one_to_one,0.45
5,1,3,0,2,web,multi_factor,low,one_to_one,0.98
5,1,4,0,1,0,0,0,0,0
5,2,1,1,2,web,two_factor,low,multi_person,0.98
5,2,2,0,2,mobile,multi_factor,low,one_to_one,0.76
5,2,3,0,2,mobile,two_factor,low,multi_person,0.76
5,2,4,0,1,0,0,0,0,0
5,3,1,1,2,web,simple,high,one_to_one,0.45
5,3,2,0,2,web,simple,low,multi_person,0.01
5,3,3,0,2,mobile,simple,medium,multi_person,0.23
5,3,4,0,1,0,0,0,0,0
5,4,1,1,2,web,simple,medium,multi_person,0.98
5,4,2,0,2,mobile,multi_factor,medium,multi_person,0.45
5,4,3,0,2,web,simple,high,multi_person,0.76
5,4,4,0,1,0,0,0,0,0
5,5,1,2,2,mobile,simple,medium,multi_person,0.45
5,5,2,0,2,mobile,simple,low,multi_person,0.98
5,5,3,0,2,mobile,multi_factor,low,multi_person,0.45
5,5,4,0,1,0,0,0,0,0
5,6,1,1,2,web,simple,high,one_to_one,0.98
5,6,2,0,2,web,simple,low,multi_person,0.45
5,6,3,0,2,mobile,multi_factor,high,one_to_one,0.76
5,6,4,0,1,0,0,0,0,0
5,7,1,3,2,mobile,simple,high,one_to_one,0.01
5,7,2,0,2,web,multi_factor,medium,multi_person,0.01
5,7,3,0,2,web,simple,low,one_to_one,0.98
5,7,4,0,1,0,0,0,0,0
5,8,1,3,2,mobile,multi_factor,medium,one_to_one,0.23
5,8,2,0,2,web,multi_factor,medium,one_to_one,0.23
5,8,3,0,2,web,two_factor,high,multi_person,0.45
5,8,4,0,1,0,0,0,0,0
5,9,1,2,2,mobile,two_factor,low,one_to_one,0.76
5,9,2,0,2,mobile,two_factor,low,one_to_one,0.98
5,9,3,0,2,mobile,simple,high,multi_person,0.01
5,9,4,0,1,0,0,0,0,0
5,10,1,3,2,web,multi_factor,low,one_to_one,0.98
5,10,2,0,2,mobile,simple,medium,multi_person,0.01
5,10,3,0,2,web,simple,high,multi_person,0.98
5,10,4,0,1,0,0,0,0,0
5,11,1,1,2,web,multi_factor,medium,one_to_one,0.98
5,11,2,0,2,web,simple,low,multi_person,0.01
5,11,3,0,2,web,two_factor,low,one_to_one,0.45
5,11,4,0,1,0,0,0,0,0
5,12,1,3,2,mobile,two_factor,medium,multi_person,0.45
5,12,2,0,2,web,two_factor,high,one_to_one,0.45
5,12,3,0,2,mobile,two_factor,high,multi_person,0.76
5,12,4,0,1,0,0,0,0,0
5,13,1,4,2,web,simple,low,multi_person,0.01
5,13,2,0,2,mobile,multi_factor,high,multi_person,0.23
5,13,3,0,2,web,multi_factor,low,multi_person,0.23
5,13,4,0,1,0,0,0,0,0
5,14,1,3,2,mobile,simple,low,multi_person,0.23
5,14,2,0,2,web,simple,low,one_to_one,0.01
5,14,3,0,2,mobile,two_factor,high,multi_person,0.98
5,14,4,0,1,0,0,0,0,0
6,1,1,1,2,mobile,two_factor,low,multi_person,0.98
6,1,2,0,2,mobile,two_factor,low,one_to_one,0.45
6,1,3,0,2,mobile,multi_factor,low,multi_person,0.01
6,1,4,0,1,0,0,0,0,0
6,2,1,3,2,mobile,two_factor,medium,one_to_one,0.23
6,2,2,0,2,mobile,simple,low,one_to_one,0.01
6,2,3,0,2,mobile,multi_factor,high,one_to_one,0.98
6,2,4,0,1,0,0,0,0,0
6,3,1,2,2,mobile,multi_factor,medium,multi_person,0.45
6,3,2,0,2,web,two_factor,high,multi_person,0.98
6,3,3,0,2,web,simple,low,one_to_one,0.23
6,3,4,0,1,0,0,0,0,0
6,4,1,3,2,mobile,two_factor,medium,one_to_one,0.01
6,4,2,0,2,web,two_factor,medium,one_to_one,0.23
6,4,3,0,2,web,multi_factor,low,multi_person,0.98
6,4,4,0,1,0,0,0,0,0
6,5,1,1,2,mobile,multi_factor,high,multi_person,0.23
6,5,2,0,2,mobile,two_factor,low,multi_person,0.01
6,5,3,0,2,mobile,two_factor,low,multi_person,0.45
6,5,4,0,1,0,0,0,0,0
6,6,1,1,2,mobile,simple,high,one_to_one,0.98
6,6,2,0,2,mobile,multi_factor,medium,multi_person,0.45
6,6,3,0,2,mobile,multi_factor,medium,one_to_one,0.76
6,6,4,0,1,0,0,0,0,0
6,7,1,1,2,web,two_factor,high,one_to_one,0.76
6,7,2,0,2,mobile,simple,low,multi_person,0.76
6,7,3,0,2,mobile,simple,high,one_to_one,0.76
6,7,4,0,1,0,0,0,0,0
6,8,1,4,2,mobile,multi_factor,medium,one_to_one,0.23
6,8,2,0,2,mobile,multi_factor,low,one_to_one,0.23
6,8,3,0,2,web,two_factor,low,multi_person,0.01
6,8,4,0,1,0,0,0,0,0
6,9,1,2,2,web,simple,high,multi_person,0.76
6,9,2,0,2,mobile,two_factor,low,multi_person,0.98
6,9,3,0,2,mobile,two_factor,high,multi_person,0.45
6,9,4,0,1,0,0,0,0,0
6,10,1,2,2,mobile,simple,medium,one_to_one,0.45
6,10,2,0,2,mobile,two_factor,low,multi_person,0.98
6,10,3,0,2,web,multi_factor,low,multi_person,0.98
6,10,4,0,1,0,0,0,0,0
6,11,1,1,2,web,simple,low,one_to_one,0.98
6,11,2,0,2,mobile,simple,high,one_to_one,0.76
6,11,3,0,2,mobile,simple,low,one_to_one,0.76
6,11,4,0,1,0,0,0,0,0
6,12,1,3,2,mobile,simple,medium,one_to_one,0.76
6,12,2,0,2,mobile,multi_factor,low,multi_person,0.23
6,12,3,0,2,mobile,multi_factor,low,one_to_one,0.98
6,12,4,0,1,0,0,0,0,0
6,13,1,4,2,mobile,multi_factor,low,multi_person,0.01
6,13,2,0,2,mobile,simple,low,one_to_one,0.01
6,13,3,0,2,web,simple,medium,multi_person,0.45
6,13,4,0,1,0,0,0,0,0
6,14,1,1,2,mobile,two_factor,low,one_to_one,0.98
6,14,2,0,2,web,multi_factor,low,multi_person,0.98
6,14,3,0,2,web,simple,low,one_to_one,0.98
6,14,4,0,1,0,0,0,0,0
7,1,1,3,2,mobile,simple,high,one_to_one,0.23
7,1,2,0,2,web,multi_factor,medium,multi_person,0.01
7,1,3,0,2,mobile,two_factor,high,multi_person,0.98
7,1,4,0,1,0,0,0,0,0
7,2,1,2,2,web,two_factor,high,multi_person,0.23
7,2,2,0,2,web,simple,high,one_to_one,0.76
7,2,3,0,2,web,simple,medium,one_to_one,0.76
7,2,4,0,1,0,0,0,0,0
7,3,1,1,2,mobile,multi_factor,high,one_to_one,0.98
7,3,2,0,2,web,two_factor,high,one_to_one,0.45
7,3,3,0,2,mobile,two_factor,medium,one_to_one,0.98
7,3,4,0,1,0,0,0,0,0
7,4,1,2,2,web,multi_factor,medium,one_to_one,0.45
7,4,2,0,2,web,two_factor,medium,multi_person,0.45
7,4,3,0,2,mobile,simple,medium,one_to_one,0.45
7,4,4,0,1,0,0,0,0,0
7,5,1,2,2,mobile,multi_factor,high,one_to_one,0.76
7,5,2,0,2,web,multi_factor,high,multi_person,0.76
7,5,3,0,2,web,two_factor,low,one_to_one,0.98
7,5,4,0,1,0,0,0,0,0
7,6,1,1,2,mobile,simple,medium,one_to_one,0.98
7,6,2,0,2,mobile,simple,medium,multi_person,0.23
7,6,3,0,2,web,simple,low,one_to_one,0.45
7,6,4,0,1,0,0,0,0,0
7,7,1,3,2,web,two_factor,high,multi_person,0.23
7,7,2,0,2,web,multi_factor,medium,multi_person,0.45
7,7,3,0,2,web,simple,low,one_to_one,0.76
7,7,4,0,1,0,0,0,0,0
7,8,1,1,2,mobile,simple,high,multi_person,0.76
7,8,2,0,2,mobile,multi_factor,high,multi_person,0.45
7,8,3,0,2,web,simple,medium,multi_person,0.76
7,8,4,0,1,0,0,0,0,0
7,9,1,3,2,mobile,multi_factor,low,one_to_one,0.45
7,9,2,0,2,web,two_factor,low,multi_person,0.45
7,9,3,0,2,mobile,multi_factor,medium,one_to_one,0.76
7,9,4,0,1,0,0,0,0,0
7,10,1,1,2,mobile,simple,medium,multi_person,0.76
7,10,2,0,2,mobile,simple,medium,one_to_one,0.01
7,10,3,0,2,web,multi_factor,low,one_to_one,0.76
7,10,4,0,1,0,0,0,0,0
7,11,1,3,2,mobile,multi_factor,medium,multi_person,0.45
7,11,2,0,2,web,multi_factor,medium,multi_person,0.23
7,11,3,0,2,mobile,two_factor,low,multi_person,0.98
7,11,4,0,1,0,0,0,0,0
7,12,1,1,2,mobile,two_factor,high,multi_person,0.98
7,12,2,0,2,mobile,multi_factor,low,multi_person,0.76
7,12,3,0,2,mobile,two_factor,high,one_to_one,0.23
7,12,4,0,1,0,0,0,0,0
7,13,1,2,2,mobile,two_factor,medium,one_to_one,0.23
7,13,2,0,2,web,multi_factor,high,multi_person,0.76
7,13,3,0,2,mobile,two_factor,low,multi_person,0.01
7,13,4,0,1,0,0,0,0,0
7,14,1,3,2,web,multi_factor,medium,one_to_one,0.98
7,14,2,0,2,mobile,multi_factor,low,multi_person,0.23
7,14,3,0,2,mobile,multi_factor,high,one_to_one,0.98
7,14,4,0,1,0,0,0,0,0
8,1,1,1,2,web,two_factor,medium,multi_person,0.45
8,1,2,0,2,web,multi_factor,low,one_to_one,0.23
8,1,3,0,2,web,two_factor,medium,one_to_one,0.23
8,1,4,0,1,0,0,0,0,0
8,2,1,1,2,web,simple,high,one_to_one,0.98
8,2,2,0,2,web,multi_factor,low,one_to_one,0.76
8,2,3,0,2,mobile,multi_factor,medium,multi_person,0.98
8,2,4,0,1,0,0,0,0,0
8,3,1,2,2,mobile,two_factor,medium,one_to_one,0.01
8,3,2,0,2,mobile,two_factor,high,multi_person,0.45
8,3,3,0,2,mobile,simple,high,multi_person,0.23
8,3,4,0,1,0,0,0,0,0
8,4,1,3,2,mobile,two_factor,low,multi_person,0.23
8,4,2,0,2,mobile,multi_factor,low,multi_person,0.23
8,4,3,0,2,mobile,two_factor,low,multi_person,0.76
8,4,4,0,1,0,0,0,0,0
8,5,1,1,2,mobile,multi_factor,low,multi_person,0.98
8,5,2,0,2,web,simple,low,one_to_one,0.76
8,5,3,0,2,web,multi_factor,medium,multi_person,0.76
8,5,4,0,1,0,0,0,0,0
8,6,1,2,2,mobile,two_factor,medium,one_to_one,0.01
8,6,2,0,2,mobile,two_factor,low,one_to_one,0.98
8,6,3,0,2,web,multi_factor,low,one_to_one,0.98
8,6,4,0,1,0,0,0,0,0
8,7,1,1,2,mobile,simple,high,one_to_one,0.98
8,7,2,0,2,mobile,simple,high,one_to_one,0.76
8,7,3,0,2,mobile,two_factor,medium,one_to_one,0.76
8,7,4,0,1,0,0,0,0,0
8,8,1,2,2,mobile,simple,medium,multi_person,0.01
8,8,2,0,2,web,multi_factor,medium,multi_person,0.76
8,8,3,0,2,mobile,multi_factor,low,one_to_one,0.45
8,8,4,0,1,0,0,0,0,0
8,9,1,3,2,web,multi_factor,high,one_to_one,0.01
8,9,2,0,2,mobile,simple,medium,multi_person,0.23
8,9,3,0,2,mobile,multi_factor,medium,multi_person,0.98
8,9,4,0,1,0,0,0,0,0
8,10,1,3,2,mobile,simple,medium,one_to_one,0.01
8,10,2,0,2,mobile,multi_factor,medium,one_to_one,0.76
8,10,3,0,2,mobile,simple,high,one_to_one,0.76
8,10,4,0,1,0,0,0,0,0
8,11,1,2,2,mobile,two_factor,high,multi_person,0.01
8,11,2,0,2,web,two_factor,medium,multi_person,0.76
8,11,3,0,2,web,multi_factor,high,multi_person,0.01
8,11,4,0,1,0,0,0,0,0
8,12,1,1,2,web,two_factor,low,multi_person,0.98
8,12,2,0,2,web,multi_factor,high,one_to_one,0.76
8,12,3,0,2,mobile,simple,low,multi_person,0.98
8,12,4,0,1,0,0,0,0,0
8,13,1,1,2,web,simple,high,one_to_one,0.98
8,13,2,0,2,web,two_factor,high,multi_person,0.23
8,13,3,0,2,mobile,two_factor,low,one_to_one,0.98
8,13,4,0,1,0,0,0,0,0
8,14,1,3,2,web,multi_factor,low,multi_person,0.01
8,14,2,0,2,web,multi_factor,high,one_to_one,0.23
8,14,3,0,2,web,two_factor,high,one_to_one,0.76
8,14,4,0,1,0,0,0,0,0
9,1,1,1,2,mobile,two_factor,medium,multi_person,0.98
9,1,2,0,2,mobile,multi_factor,low,one_to_one,0.01
9,1,3,0,2,mobile,simple,high,one_to_one,0.98
9,1,4,0,1,0,0,0,0,0
9,2,1,2,2,mobile,simple,low,one_to_one,0.45
9,2,2,0,2,web,simple,medium,multi_person,0.45
9,2,3,0,2,web,multi_factor,low,one_to_one,0.45
9,2,4,0,1,0,0,0,0,0
9,3,1,3,2,mobile,simple,medium,multi_person,0.23
9,3,2,0,2,web,multi_factor,medium,one_to_one,0.01
9,3,3,0,2,web,two_factor,medium,multi_person,0.76
9,3,4,0,1,0,0,0,0,0
9,4,1,3,2,mobile,simple,medium,one_to_one,0.76
9,4,2,0,2,mobile,multi_factor,medium,one_to_one,0.01
9,4,3,0,2,web,multi_factor,low,multi_person,0.98
9,4,4,0,1,0,0,0,0,0
9,5,1,1,2,web,simple,high,one_to_one,0.45
9,5,2,0,2,web,two_factor,high,one_to_one,0.01
9,5,3,0,2,web,multi_factor,low,one_to_one,0.45
9,5,4,0,1,0,0,0,0,0
9,6,1,1,2,mobile,multi_factor,high,multi_person,0.98
9,6,2,0,2,mobile,simple,high,multi_person,0.23
9,6,3,0,2,web,multi_factor,low,multi_person,0.23
9,6,4,0,1,0,0,0,0,0
9,7,1,1,2,mobile,simple,low,multi_person,0.98
9,7,2,0,2,web,simple,medium,multi_person,0.23
9,7,3,0,2,web,two_factor,high,one_to_one,0.76
9,7,4,0,1,0,0,0,0,0
9,8,1,1,2,mobile,multi_factor,high,one_to_one,0.98
9,8,2,0,2,web,two_factor,low,multi_person,0.98
9,8,3,0,2,mobile,multi_factor,low,one_to_one,0.01
9,8,4,0,1,0,0,0,0,0
9,9,1,1,2,mobile,multi_factor,low,multi_person,0.76
9,9,2,0,2,web,simple,medium,one_to_one,0.23
9,9,3,0,2,mobile,two_factor,low,multi_person,0.01
9,9,4,0,1,0,0,0,0,0
9,10,1,2,2,mobile,two_factor,high,multi_person,0.23
9,10,2,0,2,mobile,multi_factor,high,one_to_one,0.98
9,10,3,0,2,mobile,multi_factor,high,one_to_one,0.23
9,10,4,0,1,0,0,0,0,0
9,11,1,1,2,web,multi_factor,low,multi_person,0.76
9,11,2,0,2,web,multi_factor,low,one_to_one,0.23
9,11,3,0,2,mobile,two_factor,medium,one_to_one,0.76
9,11,4,0,1,0,0,0,0,0
9,12,1,3,2,mobile,two_factor,low,one_to_one,0.45
9,12,2,0,2,web,simple,low,multi_person,0.76
9,12,3,0,2,web,simple,high,multi_person,0.98
9,12,4,0,1,0,0,0,0,0
9,13,1,2,2,mobile,simple,low,multi_person,0.23
9,13,2,0,2,web,simple,low,multi_person,0.76
9,13,3,0,2,mobile,multi_factor,high,multi_person,0.23
9,13,4,0,1,0,0,0,0,0
9,14,1,2,2,web,multi_factor,high,one_to_one,0.01
9,14,2,0,2,web,simple,medium,one_to_one,0.98
9,14,3,0,2,web,two_factor,low,one_to_one,0.23
9,14,4,0,1,0,0,0,0,0
10,1,1,1,2,web,two_factor,medium,multi_person,0.76
10,1,2,0,2,mobile,multi_factor,medium,multi_person,0.01
10,1,3,0,2,mobile,simple,medium,multi_person,0.23
10,1,4,0,1,0,0,0,0,0
10,2,1,3,2,web,multi_factor,high,multi_person,0.01
10,2,2,0,2,web,two_factor,medium,multi_person,0.01
10,2,3,0,2,mobile,two_factor,low,multi_person,0.45
10,2,4,0,1,0,0,0,0,0
10,3,1,2,2,web,multi_factor,medium,multi_person,0.23
10,3,2,0,2,web,simple,high,one_to_one,0.76
10,3,3,0,2,web,two_factor,high,multi_person,0.23
10,3,4,0,1,0,0,0,0,0
10,4,1,1,2,mobile,multi_factor,low,one_to_one,0.98
10,4,2,0,2,mobile,multi_factor,low,multi_person,0.76
10,4,3,0,2,web,multi_factor,medium,multi_person,0.23
10,4,4,0,1,0,0,0,0,0
10,5,1,2,2,mobile,simple,high,one_to_one,0.23
10,5,2,0,2,web,two_factor,low,one_to_one,0.23
10,5,3,0,2,web,two_factor,medium,one_to_one,0.01
10,5,4,0,1,0,0,0,0,0
10,6,1,3,2,mobile,multi_factor,high,multi_person,0.01
10,6,2,0,2,web,simple,medium,one_to_one,0.01
10,6,3,0,2,web,two_factor,medium,multi_person,0.45
10,6,4,0,1,0,0,0,0,0
10,7,1,1,2,web,simple,high,one_to_one,0.76
10,7,2,0,2,web,two_factor,high,multi_person,0.23
10,7,3,0,2,mobile,two_factor,medium,multi_person,0.23
10,7,4,0,1,0,0,0,0,0
10,8,1,2,2,web,two_factor,high,one_to_one,0.45
10,8,2,0,2,web,two_factor,medium,multi_person,0.98
10,8,3,0,2,mobile,multi_factor,low,multi_person,0.98
10,8,4,0,1,0,0,0,0,0
10,9,1,2,2,web,two_factor,low,one_to_one,0.23
10,9,2,0,2,web,simple,low,one_to_one,0.76
10,9,3,0,2,mobile,multi_factor,high,multi_person,0.45
10,9,4,0,1,0,0,0,0,0
10,10,1,3,2,web,simple,medium,one_to_one,0.76
10,10,2,0,2,web,multi_factor,low,one_to_one,0.23
10,10,3,0,2,web,two_factor,high,one_to_one,0.76
10,10,4,0,1,0,0,0,0,0
10,11,1,1,2,web,two_factor,high,multi_person,0.98
10,11,2,0,2,mobile,simple,medium,multi_person,0.98
10,11,3,0,2,mobile,simple,high,one_to_one,0.23
10,11,4,0,1,0,0,0,0,0
10,12,1,2,2,web,multi_factor,medium,multi_person,0.01
10,12,2,0,2,mobile,simple,medium,multi_person,0.45
10,12,3,0,2,mobile,two_factor,high,one_to_one,0.01
10,12,4,0,1,0,0,0,0,0
10,13,1,2,2,web,multi_factor,medium,multi_person,0.45
10,13,2,0,2,web,two_factor,high,one_to_one,0.76
10,13,3,0,2,web,simple,medium,one_to_one,0.23
10,13,4,0,1,0,0,0,0,0
10,14,1,1,2,mobile,two_factor,medium,multi_person,0.45
10,14,2,0,2,web,multi_factor,high,multi_person,0.23
10,14,3,0,2,mobile,multi_factor,medium,one_to_one,0.01
10,14,4,0,1,0,0,0,0,0
11,1,1,2,2,web,simple,medium,multi_person,0.45
11,1,2,0,2,mobile,multi_factor,high,multi_person,0.98
11,1,3,0,2,mobile,simple,low,one_to_one,0.23
11,1,4,0,1,0,0,0,0,0
11,2,1,3,2,mobile,simple,low,one_to_one,0.45
11,2,2,0,2,mobile,multi_factor,medium,multi_person,0.45
11,2,3,0,2,mobile,simple,medium,multi_person,0.45
11,2,4,0,1,0,0,0,0,0
